"How is the current date retrieved in `checkCouponValidity()`?","Using the `DateTime` class to get the current date.","$currentDate = new DateTime();"
"What does the `CouponsManager` constructor initialize?","It initializes the `$dh` property with an instance of `DataHandler_Coupons`.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What happens when a coupon is successfully created?","The method returns a success status with a message.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is logged when a voucher code is received in `verifyVoucherCode()`?","The voucher code and the query result are logged for debugging.","error_log('Received voucher code in CouponsManager: ' . $voucherCode);"
"What is the purpose of the `verifyVoucherCode()` method?","To check the validity and details of a voucher code.","public function verifyVoucherCode($param) { ... }"
"How does `CouponsManager` check if a coupon exists?","Using the `queryCouponById()` or `queryCouponByCode()` methods from the database handler.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How are expired vouchers identified in `verifyVoucherCode()`?","By comparing the expiration date with today's date.","if ($expirationDate < $today) { ... }"
"What is the role of the `$voucherDetails` variable in `verifyVoucherCode()`?","It stores the details of the voucher retrieved from the database.","$voucherDetails = $this->dh->queryCouponByCode($voucherCode);"
"How does the system handle a missing coupon ID?","It returns an error message 'Coupon not found'.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What happens if `queryAllCoupons()` returns no results?","An error message is returned stating 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"What is returned if a voucher code is valid?","The discount details and expiration date are returned.","return array('status' => 'success', 'discountAmount' => $voucherDetails['discountAmount'], 'discountType' => $voucherDetails['discountType'], 'expirationDate' => $voucherDetails['expirationDate']);"
"How does `CouponsManager` check coupon expiration?","It compares the current date with the expiration date of the coupon.","if ($expirationDate >= $currentDate) { ... }"
"What is the purpose of the `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"What is the purpose of the `CouponsManager` class?","To manage coupon-related operations such as retrieval, creation, and validation.","class CouponsManager { ... }"
"How is the database handler initialized in `CouponsManager`?","In the constructor of the `CouponsManager` class.","function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What does the `getCoupons()` method return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What does the `getCoupons()` method return on failure?","An error message 'Error retrieving coupons data'.","return array('status' => 'error', 'message' => 'Error retrieving coupons data');"
"How is a new coupon created in the system?","By calling the `createCoupon()` method with the necessary coupon data.","public function createCoupon($couponData) { ... }"
"What happens if the `createCoupon()` method fails?","An error message 'Error creating coupon' is returned.","return array('status' => 'error', 'message' => 'Error creating coupon');"
"How does `CouponsManager` handle successful coupon creation?","It returns a success message 'Coupon created successfully'.","return array('status' => 'success', 'message' => 'Coupon created successfully');"
"What is the role of `queryCouponById()` in `checkCouponValidity()`?","It retrieves coupon details from the database using the coupon ID.","$couponDetails = $this->dh->queryCouponById($couponId);"
"How is the expiration date of a coupon checked in `checkCouponValidity()`?","By comparing the expiration date with the current date.","if ($expirationDate >= $currentDate) { ... }"
"What happens if a coupon is expired in `checkCouponValidity()`?","A message 'Coupon expired' is returned with `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is logged when a voucher code is processed in `verifyVoucherCode()`?","The received voucher code and the query result from the database.","error_log('Received voucher code in CouponsManager: ' . $voucherCode); error_log('Result from DataHandler: ' . json_encode($voucherDetails));"
"What does `verifyVoucherCode()` return if the voucher is expired?","An error message 'Voucher expired'.","return array('status' => 'error', 'message' => 'Voucher expired');"
"What is the response if `queryCouponByCode()` does not find a voucher?","An error message 'Voucher not found'.","return array('status' => 'error', 'message' => 'Voucher not found');"
"What is the purpose of `verifyVoucherCode()` function?","It checks the validity of a voucher code and returns details if valid.","public function verifyVoucherCode($voucherCode) { ... }"
"What is the significance of `queryAllCoupons()` in `getCoupons()`?","It retrieves all coupon data from the database.","public function getCoupons() { $result = $this->dh->queryAllCoupons(); ... }"
"What is the role of the `$dh` variable in the `CouponsManager` class?","It is an instance of `DataHandler_Coupons` used for database operations.","private $dh; function __construct() { $this->dh = new DataHandler_Coupons(); }"
"What type of data does `getCoupons()` return on success?","An array containing the status, message, and coupon data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What is the format of the response if a coupon is expired?","It returns a success status with a message 'Coupon expired' and `isValid` set to false.","return array('status' => 'success', 'isValid' => false, 'message' => 'Coupon expired');"
"What is the response when a voucher code is invalid?","An error message 'Invalid voucher code' is returned.","return array('status' => 'error', 'message' => 'Invalid voucher code');"
"What is the significance of `DateTime` in `checkCouponValidity()`?","It is used to compare the current date with the coupon's expiration date.","$currentDate = new DateTime(); $expirationDate = new DateTime($couponDetails['expirationDate']);"
"What does `CouponsManager` return when `queryAllCoupons()` is successful?","A success status with the retrieved coupons data.","return array('status' => 'success', 'message' => 'Coupons data retrieved successfully', 'data' => $result);"
"What is the purpose of `queryCouponById()` in `checkCouponValidity()`?","To retrieve coupon details by its ID for validation.","$couponDetails = $this->dh->queryCouponById($couponId);"
"What is the response if `queryCouponById()` does not find a coupon?","An error message 'Coupon not found' is returned.","return array('status' => 'error', 'isValid' => false, 'message' => 'Coupon not found');"
"What is the role of `Coupon` class in `createCoupon()`?","It is used to create a new coupon object with specific properties.","$newCoupon = new Coupon(null, $couponData['code'], $couponData['discountAmount'], $couponData['discountType'], $couponData['expirationDate']);"
